Category,Job_Title,Company,Location,Skills,Salary,Date_Posted,Job_Link,Remote,Country,Location_Type,Role_Category
data_jobs,operations manager a379,Pearl,worldwide,microsoft,,18-05-2026,https://remoteok.com/remote-jobs/remote-operations-manager-a379-pearl-1131609,TRUE,Remote,Remote,Operations & Strategy
data_jobs,operations manager a379,Pearl,worldwide,excel,,18-05-2026,https://remoteok.com/remote-jobs/remote-operations-manager-a379-pearl-1131609,TRUE,Remote,Remote,Operations & Strategy
data_jobs,operations manager a379,Pearl,worldwide,recruiting,,18-05-2026,https://remoteok.com/remote-jobs/remote-operations-manager-a379-pearl-1131609,TRUE,Remote,Remote,Operations & Strategy
data_jobs,operations manager a379,Pearl,worldwide,ecommerce,,18-05-2026,https://remoteok.com/remote-jobs/remote-operations-manager-a379-pearl-1131609,TRUE,Remote,Remote,Operations & Strategy
data_jobs,operations manager a379,Pearl,worldwide,shopify,,18-05-2026,https://remoteok.com/remote-jobs/remote-operations-manager-a379-pearl-1131609,TRUE,Remote,Remote,Operations & Strategy
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,react,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,swift,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,testing,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,test,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,ux,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,recruiting,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,ecommerce,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,senior cro manager growth optimization lead for us dtc company,Paired,worldwide,shopify,,18-05-2026,https://remoteok.com/remote-jobs/remote-senior-cro-manager-growth-optimization-lead-for-us-dtc-company-paired-1131608,TRUE,Remote,Remote,Marketing & Growth
data_jobs,us tax law ai specialist,Weekday,india,legal,,17-05-2026,https://remoteok.com/remote-jobs/remote-us-tax-law-ai-specialist-weekday-1131606,FALSE,India,Physical,Data Science & AI
data_jobs,sales development representative inbound,Yuno,worldwide,salesforce,,17-05-2026,https://remoteok.com/remote-jobs/remote-sales-development-representative-inbound-yuno-1131605,TRUE,Remote,Remote,Sales & Business Development
data_jobs,sales development representative inbound,Yuno,worldwide,excel,,17-05-2026,https://remoteok.com/remote-jobs/remote-sales-development-representative-inbound-yuno-1131605,TRUE,Remote,Remote,Sales & Business Development
data_jobs,senior accountant,Volt,"bethesda, md",saas,,17-05-2026,https://remoteok.com/remote-jobs/remote-senior-accountant-volt-1131601,FALSE,Other,Physical,Finance & Accounting
data_jobs,senior accountant,Volt,"bethesda, md",accounting,,17-05-2026,https://remoteok.com/remote-jobs/remote-senior-accountant-volt-1131601,FALSE,Other,Physical,Finance & Accounting
data_jobs,senior accountant,Volt,"bethesda, md",c,,17-05-2026,https://remoteok.com/remote-jobs/remote-senior-accountant-volt-1131601,FALSE,Other,Physical,Finance & Accounting
data_jobs,senior accountant,Volt,"bethesda, md",legal,,17-05-2026,https://remoteok.com/remote-jobs/remote-senior-accountant-volt-1131601,FALSE,Other,Physical,Finance & Accounting
data_jobs,application support engineer,Cresta,worldwide,consulting,,16-05-2026,https://remoteok.com/remote-jobs/remote-application-support-engineer-cresta-1131596,TRUE,Remote,Remote,Customer Support & Success
data_jobs,application support engineer,Cresta,worldwide,api,,16-05-2026,https://remoteok.com/remote-jobs/remote-application-support-engineer-cresta-1131596,TRUE,Remote,Remote,Customer Support & Success
data_jobs,senior golang developer,TRE ALTAMIRA Srl,worldwide,golang,,16-05-2026,https://remoteok.com/remote-jobs/remote-senior-golang-developer-tre-altamira-srl-1131593,TRUE,Remote,Remote,Software Engineering
data_jobs,software engineer,Sticker Mule,europe,golang,150000,16-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1131592,FALSE,Other,Physical,Software Engineering
data_jobs,software engineer,Sticker Mule,europe,docker,150000,16-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1131592,FALSE,Other,Physical,Software Engineering
data_jobs,software engineer,Sticker Mule,europe,redis,150000,16-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1131592,FALSE,Other,Physical,Software Engineering
data_jobs,software engineer,Sticker Mule,europe,gcp,150000,16-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1131592,FALSE,Other,Physical,Software Engineering
data_jobs,software engineer,Sticker Mule,europe,postgresql,150000,16-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1131592,FALSE,Other,Physical,Software Engineering
data_jobs,it support technician,Avalere Health,washington dc,microsoft,,16-05-2026,https://remoteok.com/remote-jobs/remote-it-support-technician-avalere-health-1131591,FALSE,United States,Physical,Customer Support & Success
data_jobs,it support technician,Avalere Health,washington dc,marketing,,16-05-2026,https://remoteok.com/remote-jobs/remote-it-support-technician-avalere-health-1131591,FALSE,United States,Physical,Customer Support & Success
data_jobs,account supervisor,Avalere Health,worldwide,marketing,,16-05-2026,https://remoteok.com/remote-jobs/remote-account-supervisor-avalere-health-1131590,TRUE,Remote,Remote,Other
data_jobs,product manager,Cosuno,berlin,saas,,16-05-2026,https://remoteok.com/remote-jobs/remote-product-manager-cosuno-1131589,FALSE,Other,Physical,Product Management
data_jobs,product manager,Cosuno,berlin,marketing,,16-05-2026,https://remoteok.com/remote-jobs/remote-product-manager-cosuno-1131589,FALSE,Other,Physical,Product Management
data_jobs,staff engineer platform engineering,HighLevel,india,saas,,16-05-2026,https://remoteok.com/remote-jobs/remote-staff-engineer-platform-engineering-highlevel-1131588,FALSE,India,Physical,DevOps & Cloud
data_jobs,staff engineer platform engineering,HighLevel,india,nodejs,,16-05-2026,https://remoteok.com/remote-jobs/remote-staff-engineer-platform-engineering-highlevel-1131588,FALSE,India,Physical,DevOps & Cloud
data_jobs,staff engineer platform engineering,HighLevel,india,api,,16-05-2026,https://remoteok.com/remote-jobs/remote-staff-engineer-platform-engineering-highlevel-1131588,FALSE,India,Physical,DevOps & Cloud
data_jobs,staff engineer platform engineering,HighLevel,india,legal,,16-05-2026,https://remoteok.com/remote-jobs/remote-staff-engineer-platform-engineering-highlevel-1131588,FALSE,India,Physical,DevOps & Cloud
data_jobs,business analyst,Judi Health,denver,ux,,16-05-2026,https://remoteok.com/remote-jobs/remote-business-analyst-judi-health-1131587,FALSE,United States,Physical,Operations & Strategy
data_jobs,capture analyst,Altarum,united states,edu,,16-05-2026,https://remoteok.com/remote-jobs/remote-capture-analyst-altarum-1131585,FALSE,United States,Physical,Data Analyst
